"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1684","@CurlsAnASmile @realDonaldTrump Excuse me? I bet u voted for crooked Hillary, who's laughing now, especially since… https://t.co/MbyrVHM1tF",FALSE,3,"CurlsAnASmile",2018-01-30 23:56:38,TRUE,"957771267326738432","958489159047548929","274778637","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dewitt_jeannie",0,FALSE,FALSE,NA,NA
"1685","@SenateGOP @SenateDems #ReleaseTheMemo #StateOfTheUnion #MediaBlackOut #AmericansFirst @congressdotgov @HouseGOP… https://t.co/b6pRrIrygV",FALSE,1,"SenateGOP",2018-01-30 23:56:37,TRUE,NA,"958489158607097856","14344823","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","izzie_adams2",0,FALSE,FALSE,NA,NA
"1686","@realDonaldTrump https://t.co/S0VXRKDE6M",FALSE,0,"realDonaldTrump",2018-01-30 23:56:37,FALSE,NA,"958489158003064832","25073877","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Papabear308",0,FALSE,FALSE,NA,NA
"1687","@MyFairLady007 @kwhitney2015 @everybodyzzmama @TheHousemanHG1 @johncottonjr @OneCharmed1 @ElKentus @pagebook7… https://t.co/nPmvjuCt3W",FALSE,2,"MyFairLady007",2018-01-30 23:56:37,TRUE,"958486839614169089","958489157734621184","51909562","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Grammitude55",0,FALSE,FALSE,NA,NA
"1688",".@realDonaldTrump https://t.co/lZQFbtVcQX",FALSE,1,NA,2018-01-30 23:56:37,FALSE,NA,"958489157700997120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chbacon",0,FALSE,FALSE,NA,NA
"1689","@Jack_W002 @EagleMemeBot @stucknsecland @aminawant @TrumpQAnon @realDonaldTrump @POTUS @LexiHunt00 @SailorsChristie… https://t.co/j9GzFkL0fd",FALSE,1,"Jack_W002",2018-01-30 23:56:37,TRUE,"958488549879435264","958489157415964673","864452194287988736","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Frank00021146",0,FALSE,FALSE,NA,NA
"1690","RT @nateterani: If @realDonaldTrump you try to further undermine our democracy by firing Robert Mueller, then  American Veterans will lead…",FALSE,0,NA,2018-01-30 23:56:37,FALSE,NA,"958489156811829248",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pamstucky",11802,TRUE,FALSE,NA,NA
"1691","RT @ProudResister: Dear @realDonaldTrump,

It does not matter what you say during the #SOTU. The majority of the American people already kn…",FALSE,0,NA,2018-01-30 23:56:37,FALSE,NA,"958489156740571136",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","LouLachat",1150,TRUE,FALSE,NA,NA
"1692","@AlexSanz @realDonaldTrump Once again using those words so people can feel sympathy but then he does the opposite.… https://t.co/wMpN0q4hRB",FALSE,4,"AlexSanz",2018-01-30 23:56:37,TRUE,"958467363908698112","958489156421697536","16724890","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","originalrahrah",2,FALSE,FALSE,NA,NA
"1693","Los demócratas de la Cámara de Representantes invitaron a #DREAMers al discurso del Estado de la Unión, #SOTU, para… https://t.co/9gSxfkAl8K",FALSE,8,NA,2018-01-30 23:56:37,TRUE,NA,"958489155943755777",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DemsEspanol",13,FALSE,FALSE,NA,NA
"1694","@realDonaldTrump @DLoesch https://t.co/44hWdgDiRV",FALSE,0,"realDonaldTrump",2018-01-30 23:56:37,FALSE,NA,"958489155692105729","25073877","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LPMan59",0,FALSE,FALSE,NA,NA
"1695","RT @Trump45Michael: Already loving it... the new 1040, LMAOROTF 
@POTUS Trump @realDonaldTrump 
<ed><U+00A0><U+00BE><ed><U+00B4><U+00AA><ed><U+00A0><U+00BD><ed><U+00B8><U+009C><ed><U+00A0><U+00BE><ed><U+00B4><U+00AA><ed><U+00A0><U+00BE><ed><U+00B4><U+00AF> Liberalism <ed><U+00A0><U+00BE><ed><U+00B4><U+00AF><ed><U+00A0><U+00BE><ed><U+00B4><U+00AA><ed><U+00A0><U+00BD><ed><U+00B8><U+009C><ed><U+00A0><U+00BE><ed><U+00B4><U+00AA> https://t.co/Uyp5CqHIP1",FALSE,0,NA,2018-01-30 23:56:37,FALSE,NA,"958489155264221184",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AggieDad2015",266,TRUE,FALSE,NA,NA
"1696","RT @RoxieS11: #SOTU #ReleaseTheMemo @realDonaldTrump https://t.co/krc3FsNX5C",FALSE,0,NA,2018-01-30 23:56:36,FALSE,NA,"958489154249256960",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HannahRoze1",1,TRUE,FALSE,NA,NA
"1697","RT @ggongwer: I agree with Maxine Waters ""He does not deserve my attention."" 

Stand with her &amp; John Lewis &amp; boycott @realdonaldtrump State…",FALSE,0,NA,2018-01-30 23:56:36,FALSE,NA,"958489154219683840",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","zmanaz",36,TRUE,FALSE,NA,NA
